trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",30,10,34.148674434213504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012172}",30,0,31.995799141492938,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.1999999999999997, 'e': 0.1300287108784259}",25,9,27.789396332338864,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",25,11,-27.69392194037225,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858241}",30,18,12.079415020542301,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.1224564282529819}",20,3,12.46670593515694,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145673}",20,8,7.12292045995602,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11765484302177918}",35,0,12.329578559786826,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806251}",20,11,14.694242519036617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044985}",25,10,-13.764143044877352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",30,19,-2.0832277748261427,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495796}",20,8,12.454783291635637,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.1064585043792528}",20,10,3.263332133299383,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.104350484754765}",20,12,13.20977397084306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553744}",25,9,12.44802762950297,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.1002588437228037}",25,13,25.66358543731602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436154}",20,5,29.626257757862035,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049303}",30,11,29.404739948178296,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630235}",20,10,17.661787212373937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09255057751034329}",25,14,22.79699666069659,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941251}",20,6,11.439914790532377,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938634}",35,24,23.62897570046664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.0871608514619813}",20,11,17.335368327192963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732123}",20,11,20.254363209129135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",30,7,41.33216050391209,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",20,0,28.21364303477271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",20,6,26.91585971654973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067495}",20,10,-23.315228239000437,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329974}",20,13,14.143901010507197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",20,8,19.356234757725503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433388}",20,7,-17.892523635798998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07280286282743559}",20,6,17.155168280124418,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638605}",20,13,11.085082237421894,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",20,0,-9.685015695698139,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427791}",25,13,23.086347063863798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",30,9,36.1966383474216,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640295}",20,0,23.48425342513024,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316847}",20,13,10.515068099335291,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.0632917683596407}",20,16,8.00041523379733,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
